name,description
Ace of Spades,the ace of spades with an ornate spade symbol
King of Spades,a regal king holding a sword
Queen of Spades,an elegant queen with a scepter
Jack of Spades,a young knight in armor
Ace of Hearts,the ace of hearts with a decorative heart
King of Hearts,a noble king with a heart crown
Queen of Hearts,a graceful queen surrounded by roses
Jack of Hearts,a romantic prince with flowers
Ace of Diamonds,the ace of diamonds with a sparkling diamond
King of Diamonds,a wealthy king with treasure
Queen of Diamonds,a sophisticated queen with jewels
Jack of Diamonds,a merchant prince with coins
Ace of Clubs,the ace of clubs with a clover symbol
King of Clubs,a strong king with a club
Queen of Clubs,a wise queen in a garden
Jack of Clubs,a brave squire with a staff
Joker Red,a colorful jester in red and gold
Joker Black,a mysterious jester in black and silver
