name,description
Aries,a ram with curved horns charging forward
Taurus,a powerful bull standing in a field
Gemini,twin figures holding hands under the stars
Cancer,a crab with a protective shell by the water
Leo,a majestic lion with a golden mane
Virgo,a maiden holding wheat in a garden
Libra,balanced scales floating in the air
Scorpio,a scorpion with a raised tail
Sagittarius,a centaur archer aiming at the stars
Capricorn,a goat with a fish tail climbing mountains
Aquarius,a water bearer pouring from celestial urns
Pisces,two fish swimming in opposite directions
